,subjs,words,words_excluded,fix,fix_excluded,regressions,skips,out_of_bounds,return_sweeps
Axolotl,11,1543,431,20950,7216,7984,6057,90,2258
Total,11,1543,431,20950,7216,7984,6057,90,2258
