,subjs,words,words_excluded,fix,fix_excluded,regressions,skips,out_of_bounds,return_sweeps
Axolotl,11,1543,431,18373,6076,6159,6900,86,649
Total,11,1543,431,18373,6076,6159,6900,86,649
